0,43
1,82
2,11
3,1.3
4,2.6
5,1290
6,600
7,116000
8,8.8
9,36
10,41
11,1.05
12,80
13,56
14,36
15,172
16,16
17,37.4
18,311.25
19,11
20,12
21,5
22,100
23,44
24,552
25,54
26,3
27,64
28,1.89
29,1950
30,3.7
31,7.5
32,9
33,720
34,66
35,5
36,251
37,5
38,60
39,48
40,800
41,24
42,6
43,500
44,4
45,16
46,5
47,288
48,40
49,280
50,4484
51,8
52,7600
53,560
54,778
55,120
56,138
57,4875
58,1248
59,9
60,14
61,1101
62,1300
63,738
64,1176
65,933.6
66,399.6
67,400
68,3360
69,765
70,10
71,382.4
72,6600
73,8
74,125
75,3.8
76,5
77,20
78,24
79,194
80,1.4
81,4
82,7
83,196
84,260
85,20%
86,15
87,2
88,402
89,490
90,61.92
91,20
92,7
93,1735
94,400
95,212
96,8
97,4
98,3
99,260
100,2057.6
101,400
102,3561.638
103,14
104,4/45
105,20
106,9
107,500
108,10.9
109,20
110,7/10
111,1200
112,560
113,2.1
114,0.36
115,160
116,5
117,7
118,192
119,124
120,2.14
121,13
122,40
123,69
124,20000
125,90%
126,715
127,16
128,101
129,770
130,9
131,949
132,41.23
133,191
134,11200
135,3
136,695
137,4
138,24
139,87
140,90
141,73
142,96
143,15
144,8000
145,356
146,3
147,8400
148,4800
149,3
150,9
151,494
152,3.5
153,490
154,2
155,10
156,1.75
157,300
158,12
159,60
160,5
161,5
162,4
163,12
164,6
165,1350
166,336
167,750
168,9
169,312
170,4
171,4
172,404.48
173,144
174,35
175,14
176,44
177,9
178,16
179,12
180,20
181,36
182,12
183,27
184,3
185,650
186,5000
187,10
188,468
189,6
190,123
191,121.96
192,10245
193,880
194,700
195,1372
196,704
197,28.26
198,450
199,68
200,450
201,85.5
202,18
203,20
204,16
205,12
206,81
207,6
208,590
209,198
210,6
211,34.5
212,3151
213,29324.55
214,5
215,24500
216,625
217,4.25
218,63072
219,200
220,5
221,333
222,70
223,40
224,200
225,1872
226,32
227,6
228,0.857
229,168
230,190
231,185
232,3625
233,207
234,684
235,3500
236,1007
237,495
238,18
239,820
240,816
241,21
242,8
243,5375
244,432
245,5
246,25
247,4
248,240
249,8
250,3.2
251,2
252,3810
253,1260
254,185
255,3000
256,1536
257,25
258,7
259,5
260,2700
261,8
262,45.5
263,120
264,4.8
265,6
266,13/24
267,276
268,26
269,470
270,25
271,10460
272,750
273,20
274,728
275,1815
276,289
277,5.4
278,32
279,12
280,301.44
281,34
282,6
283,736
284,64
285,18
286,240
287,579
288,27
289,11250
290,3
291,9
292,6
293,6
294,16
295,30
296,160
297,10
298,20
299,35
300,224
301,27
302,8
303,7
304,81
305,982.46
306,18
307,20
308,10
309,7350
310,40
311,12
312,3150
313,7
314,36
315,60
316,4
317,108
318,900
319,9
320,4
321,432
322,8
323,110
324,5
325,7
326,3450
327,71.25
328,1570
329,57.6
330,495
331,434000
332,000
333,300
334,7
335,28
336,15
337,486
338,2
339,10
340,50
341,10
342,100.5
343,56
344,60
345,47
346,48
347,5
348,425
349,2400
350,0.32
351,600
352,110.9
353,1518
354,168
355,140
356,175.75
357,0.942
358,25
359,192
360,11304
361,12560
362,45
363,576
364,103/20
365,540
366,35
367,32
368,8
369,209
370,150
371,242
372,10
373,15
374,36
375,1350
376,591
377,288
378,4429
379,15
380,70
381,43
382,5
383,6240
384,56375
385,91
386,6
387,34.06
388,466.67
389,19
390,15
391,1260
392,768
393,800
394,23.75
395,33.92
396,13500
397,11
398,6592
399,13
400,207
401,136
402,1350
403,1
404,350
405,32
406,20
407,3
408,4
409,9.42
410,47
411,1.5
412,64
413,800
414,1050
415,92
416,55
417,40
418,1320
419,20
420,9
421,1
422,300
423,0.5
424,1.08
425,15.12
426,4.8
427,1920
428,161
429,2250
430,580
431,580
432,120
433,112
434,800
435,31
436,408
437,44
438,1.292
439,6300
440,1/4
441,31.6
442,410
443,87.5
444,64
445,45
446,5
447,8.1
448,20
449,1920
450,916
451,68
452,9%
453,10
454,30
455,133
456,1080
457,0.01
458,76
459,390
460,40
461,2400
462,33
463,8
464,12
465,1710
466,240
467,246
468,21
469,35
470,12
471,16
